Iteration = 141000 | Total steps: 21-46-105 | Min: 0.39 | Avg: 7.08 | Max: 19.69
Iteration = 142000 | Total steps: 16-38-72 | Min: 0.10 | Avg: 4.45 | Max: 14.05
Iteration = 143000 | Total steps: 22-46-73 | Min: 1.20 | Avg: 10.20 | Max: 35.90
Iteration = 144000 | Total steps: 16-39-73 | Min: 0.10 | Avg: 9.35 | Max: 20.80
Iteration = 145000 | Total steps: 16-44-73 | Min: 0.10 | Avg: 5.75 | Max: 21.20
Iteration = 146000 | Total steps: 21-30-43 | Min: 0.18 | Avg: 1.82 | Max: 4.84
Iteration = 147000 | Total steps: 36-56-81 | Min: 3.79 | Avg: 11.95 | Max: 43.77
Iteration = 148000 | Total steps: 16-32-61 | Min: 0.10 | Avg: 5.14 | Max: 19.54
Iteration = 149000 | Total steps: 23-27-36 | Min: 0.28 | Avg: 2.61 | Max: 14.11
Iteration = 150000 | Total steps: 16-35-66 | Min: 0.10 | Avg: 2.80 | Max: 6.03
Iteration = 151000 | Total steps: 26-51-75 | Min: 1.23 | Avg: 5.67 | Max: 10.32
Iteration = 152000 | Total steps: 33-50-74 | Min: 2.25 | Avg: 7.39 | Max: 21.12
Iteration = 153000 | Total steps: 16-32-54 | Min: 0.10 | Avg: 3.51 | Max: 18.31
Iteration = 154000 | Total steps: 16-42-82 | Min: 0.10 | Avg: 18.45 | Max: 72.11 [CHECK POINT]
Iteration = 155000 | Total steps: 46-62-91 | Min: 2.13 | Avg: 10.67 | Max: 35.48
Iteration = 156000 | Total steps: 28-39-54 | Min: 1.18 | Avg: 4.73 | Max: 18.58
Iteration = 157000 | Total steps: 16-33-68 | Min: 0.10 | Avg: 2.67 | Max: 6.52
Iteration = 158000 | Total steps: 30-49-67 | Min: 2.28 | Avg: 8.50 | Max: 27.68
Iteration = 159000 | Total steps: 16-46-76 | Min: 0.10 | Avg: 11.90 | Max: 68.68
Iteration = 160000 | Total steps: 19-37-62 | Min: 0.87 | Avg: 8.64 | Max: 59.21
Iteration = 161000 | Total steps: 22-35-61 | Min: 0.40 | Avg: 4.57 | Max: 21.86
Iteration = 162000 | Total steps: 16-37-74 | Min: 0.10 | Avg: 8.23 | Max: 22.72
Iteration = 163000 | Total steps: 29-41-58 | Min: 0.88 | Avg: 3.32 | Max: 5.56
Iteration = 164000 | Total steps: 16-23-51 | Min: 0.10 | Avg: 0.93 | Max: 3.60
Iteration = 165000 | Total steps: 20-38-81 | Min: 0.24 | Avg: 3.97 | Max: 14.69
Iteration = 166000 | Total steps: 49-61-76 | Min: 4.12 | Avg: 13.45 | Max: 39.17
Iteration = 167000 | Total steps: 16-37-88 | Min: 0.10 | Avg: 4.11 | Max: 20.25
Iteration = 168000 | Total steps: 16-41-72 | Min: 0.10 | Avg: 5.52 | Max: 22.92
Iteration = 169000 | Total steps: 16-30-51 | Min: 0.10 | Avg: 4.50 | Max: 19.36
Iteration = 170000 | Total steps: 21-40-62 | Min: 0.39 | Avg: 9.39 | Max: 29.42
Iteration = 171000 | Total steps: 25-47-67 | Min: 0.72 | Avg: 9.29 | Max: 40.76
Iteration = 172000 | Total steps: 16-31-66 | Min: 0.10 | Avg: 4.38 | Max: 32.31
Iteration = 173000 | Total steps: 18-32-58 | Min: 0.21 | Avg: 5.81 | Max: 39.55
Iteration = 174000 | Total steps: 22-41-61 | Min: 1.02 | Avg: 7.22 | Max: 21.52
Iteration = 175000 | Total steps: 16-18-25 | Min: 0.10 | Avg: 0.62 | Max: 2.54
Iteration = 176000 | Total steps: 16-31-54 | Min: 0.10 | Avg: 4.27 | Max: 18.18
Iteration = 177000 | Total steps: 16-27-52 | Min: 0.10 | Avg: 3.80 | Max: 14.25
Iteration = 178000 | Total steps: 18-39-53 | Min: 0.52 | Avg: 8.80 | Max: 30.83
Iteration = 179000 | Total steps: 17-24-31 | Min: 0.16 | Avg: 2.76 | Max: 16.58
Iteration = 180000 | Total steps: 22-35-56 | Min: 0.80 | Avg: 2.51 | Max: 6.13
Iteration = 181000 | Total steps: 16-21-31 | Min: 0.10 | Avg: 1.78 | Max: 11.90
Iteration = 182000 | Total steps: 22-42-64 | Min: 1.23 | Avg: 4.87 | Max: 20.21
Iteration = 183000 | Total steps: 16-37-73 | Min: 0.10 | Avg: 4.30 | Max: 22.66
Iteration = 184000 | Total steps: 16-41-75 | Min: 0.10 | Avg: 3.23 | Max: 8.45
Iteration = 185000 | Total steps: 16-42-76 | Min: 0.10 | Avg: 9.38 | Max: 32.52
Iteration = 186000 | Total steps: 16-40-86 | Min: 0.10 | Avg: 8.30 | Max: 34.65
Iteration = 187000 | Total steps: 21-40-64 | Min: 0.39 | Avg: 10.47 | Max: 25.18
Iteration = 188000 | Total steps: 16-32-67 | Min: 0.10 | Avg: 7.39 | Max: 32.36
Iteration = 189000 | Total steps: 18-46-73 | Min: 0.24 | Avg: 6.23 | Max: 19.75
Iteration = 190000 | Total steps: 16-42-69 | Min: 0.10 | Avg: 8.50 | Max: 31.15
Iteration = 191000 | Total steps: 16-31-57 | Min: 0.10 | Avg: 9.25 | Max: 29.54
Iteration = 192000 | Total steps: 25-54-81 | Min: 1.17 | Avg: 7.30 | Max: 29.23
Iteration = 193000 | Total steps: 16-44-77 | Min: 0.10 | Avg: 4.35 | Max: 9.62
Iteration = 194000 | Total steps: 23-34-43 | Min: 0.26 | Avg: 7.22 | Max: 17.56
Iteration = 195000 | Total steps: 16-32-55 | Min: 0.10 | Avg: 4.31 | Max: 16.79
Iteration = 196000 | Total steps: 21-37-55 | Min: 0.89 | Avg: 5.21 | Max: 23.63
Iteration = 197000 | Total steps: 24-42-62 | Min: 0.51 | Avg: 5.55 | Max: 27.13
Iteration = 198000 | Total steps: 16-46-78 | Min: 0.10 | Avg: 14.18 | Max: 56.58
Iteration = 199000 | Total steps: 31-51-102 | Min: 2.46 | Avg: 14.15 | Max: 73.69
Iteration = 200000 | Total steps: 21-45-75 | Min: 0.39 | Avg: 11.81 | Max: 53.72
Iteration = 201000 | Total steps: 18-46-73 | Min: 0.86 | Avg: 5.02 | Max: 11.20
Iteration = 202000 | Total steps: 16-39-66 | Min: 0.10 | Avg: 5.78 | Max: 18.07
