Iteration = 101000 | Total steps: 27-43-72 | Min: 1.44 | Avg: 5.48 | Max: 16.79
Iteration = 102000 | Total steps: 24-44-64 | Min: 0.74 | Avg: 5.64 | Max: 19.38
Iteration = 103000 | Total steps: 21-36-77 | Min: 0.38 | Avg: 2.89 | Max: 6.93
Iteration = 104000 | Total steps: 26-40-54 | Min: 1.15 | Avg: 4.37 | Max: 14.92
Iteration = 105000 | Total steps: 27-49-86 | Min: 2.49 | Avg: 6.25 | Max: 14.86
Iteration = 106000 | Total steps: 16-43-75 | Min: 0.10 | Avg: 5.07 | Max: 19.47
Iteration = 107000 | Total steps: 16-26-41 | Min: 0.10 | Avg: 1.68 | Max: 4.34
Iteration = 108000 | Total steps: 14-37-57 | Min: 0.75 | Avg: 4.74 | Max: 15.72
Iteration = 109000 | Total steps: 26-40-56 | Min: 1.32 | Avg: 4.09 | Max: 12.40
Iteration = 110000 | Total steps: 26-38-62 | Min: 0.85 | Avg: 3.66 | Max: 13.89
Iteration = 111000 | Total steps: 16-32-57 | Min: 0.10 | Avg: 2.31 | Max: 5.68
Iteration = 112000 | Total steps: 25-38-47 | Min: 1.53 | Avg: 4.99 | Max: 16.33
Iteration = 113000 | Total steps: 40-47-60 | Min: 3.62 | Avg: 4.85 | Max: 5.80
Iteration = 114000 | Total steps: 16-30-64 | Min: 0.10 | Avg: 2.98 | Max: 12.86
Iteration = 115000 | Total steps: 16-41-76 | Min: 0.10 | Avg: 8.27 | Max: 47.10 [CHECK POINT]
Iteration = 116000 | Total steps: 16-48-76 | Min: 0.10 | Avg: 5.85 | Max: 16.96
Iteration = 117000 | Total steps: 16-40-68 | Min: 0.10 | Avg: 3.51 | Max: 8.07
Iteration = 118000 | Total steps: 16-36-59 | Min: 0.10 | Avg: 5.90 | Max: 17.90
Iteration = 119000 | Total steps: 20-42-72 | Min: 0.51 | Avg: 6.47 | Max: 27.44
Iteration = 120000 | Total steps: 31-59-96 | Min: 1.47 | Avg: 6.88 | Max: 12.23
Iteration = 121000 | Total steps: 23-48-92 | Min: 0.84 | Avg: 3.94 | Max: 6.39
Iteration = 122000 | Total steps: 18-31-55 | Min: 0.24 | Avg: 4.98 | Max: 24.43
Iteration = 123000 | Total steps: 21-34-48 | Min: 0.28 | Avg: 2.23 | Max: 6.15
Iteration = 124000 | Total steps: 32-49-82 | Min: 1.96 | Avg: 5.62 | Max: 19.82
Iteration = 125000 | Total steps: 33-50-98 | Min: 2.82 | Avg: 6.28 | Max: 17.53
Iteration = 126000 | Total steps: 48-65-84 | Min: 5.05 | Avg: 7.87 | Max: 18.74
Iteration = 127000 | Total steps: 27-48-64 | Min: 1.19 | Avg: 5.16 | Max: 20.53
Iteration = 128000 | Total steps: 27-44-63 | Min: 1.51 | Avg: 3.56 | Max: 7.89
Iteration = 129000 | Total steps: 31-46-62 | Min: 2.15 | Avg: 4.11 | Max: 7.25
Iteration = 130000 | Total steps: 24-47-75 | Min: 0.79 | Avg: 4.47 | Max: 7.23
Iteration = 131000 | Total steps: 20-54-77 | Min: 0.70 | Avg: 5.86 | Max: 16.14
Iteration = 132000 | Total steps: 27-53-90 | Min: 1.03 | Avg: 6.43 | Max: 21.08
Iteration = 133000 | Total steps: 20-51-72 | Min: 0.18 | Avg: 5.20 | Max: 17.46
Iteration = 134000 | Total steps: 26-43-70 | Min: 1.30 | Avg: 4.09 | Max: 6.47
Iteration = 135000 | Total steps: 28-50-100 | Min: 1.69 | Avg: 6.83 | Max: 23.36
Iteration = 136000 | Total steps: 19-33-74 | Min: 0.18 | Avg: 2.06 | Max: 5.59
Iteration = 137000 | Total steps: 19-42-84 | Min: 0.37 | Avg: 5.05 | Max: 27.89
Iteration = 138000 | Total steps: 21-43-66 | Min: 0.28 | Avg: 3.29 | Max: 7.82
Iteration = 139000 | Total steps: 27-45-108 | Min: 1.22 | Avg: 4.69 | Max: 17.95
