Iteration = 134000 | Total steps: 3-18-25 | Min: 0.16 | Avg: 0.55 | Max: 0.87
Iteration = 135000 | Total steps: 16-16-16 | Min: 0.10 | Avg: 0.10 | Max: 0.10
Iteration = 136000 | Total steps: 3-18-27 | Min: 0.11 | Avg: 0.69 | Max: 1.47
Iteration = 137000 | Total steps: 12-17-29 | Min: 0.10 | Avg: 0.26 | Max: 1.30
Iteration = 138000 | Total steps: 17-23-27 | Min: 0.15 | Avg: 0.57 | Max: 1.01
Iteration = 139000 | Total steps: 16-17-24 | Min: 0.10 | Avg: 0.22 | Max: 0.61
Iteration = 140000 | Total steps: 22-28-32 | Min: 0.29 | Avg: 0.88 | Max: 1.85
Iteration = 141000 | Total steps: 20-21-26 | Min: 0.19 | Avg: 0.51 | Max: 1.72
Iteration = 142000 | Total steps: 16-16-16 | Min: 0.10 | Avg: 0.10 | Max: 0.10
Iteration = 143000 | Total steps: 16-21-30 | Min: 0.10 | Avg: 0.40 | Max: 1.07
Iteration = 144000 | Total steps: 16-18-32 | Min: 0.10 | Avg: 0.30 | Max: 1.03
Iteration = 145000 | Total steps: 20-26-34 | Min: 0.18 | Avg: 1.00 | Max: 2.53
Iteration = 146000 | Total steps: 16-16-20 | Min: 0.10 | Avg: 0.17 | Max: 0.63
Iteration = 147000 | Total steps: 16-17-24 | Min: 0.10 | Avg: 0.16 | Max: 0.31
Iteration = 148000 | Total steps: 19-22-28 | Min: 0.17 | Avg: 0.45 | Max: 2.07
Iteration = 149000 | Total steps: 21-25-32 | Min: 0.19 | Avg: 0.93 | Max: 2.38
Iteration = 150000 | Total steps: 16-21-34 | Min: 0.10 | Avg: 0.68 | Max: 3.07
Iteration = 151000 | Total steps: 16-19-26 | Min: 0.10 | Avg: 0.46 | Max: 1.15
Iteration = 152000 | Total steps: 10-24-38 | Min: 0.33 | Avg: 1.19 | Max: 2.46
Iteration = 153000 | Total steps: 22-28-38 | Min: 0.39 | Avg: 1.35 | Max: 2.90
Iteration = 154000 | Total steps: 9-21-27 | Min: 0.32 | Avg: 0.70 | Max: 1.50
Iteration = 155000 | Total steps: 16-29-38 | Min: 0.10 | Avg: 1.37 | Max: 3.43
Iteration = 156000 | Total steps: 16-26-39 | Min: 0.10 | Avg: 1.08 | Max: 3.06
Iteration = 157000 | Total steps: 23-30-38 | Min: 0.57 | Avg: 1.79 | Max: 4.18
Iteration = 158000 | Total steps: 17-28-41 | Min: 0.46 | Avg: 1.39 | Max: 2.75
Iteration = 159000 | Total steps: 20-28-39 | Min: 0.19 | Avg: 1.29 | Max: 3.02
Iteration = 160000 | Total steps: 22-30-37 | Min: 0.29 | Avg: 8.22 | Max: 38.95 [CHECK POINT]
Iteration = 161000 | Total steps: 23-29-37 | Min: 0.34 | Avg: 1.91 | Max: 3.23
Iteration = 162000 | Total steps: 15-27-45 | Min: 0.10 | Avg: 1.46 | Max: 4.22
Iteration = 163000 | Total steps: 20-25-37 | Min: 0.21 | Avg: 1.10 | Max: 3.28
Iteration = 164000 | Total steps: 19-27-37 | Min: 0.77 | Avg: 4.12 | Max: 28.62
Iteration = 165000 | Total steps: 21-29-37 | Min: 0.39 | Avg: 2.00 | Max: 4.09
Iteration = 166000 | Total steps: 16-22-30 | Min: 0.10 | Avg: 0.56 | Max: 1.25
Iteration = 167000 | Total steps: 17-25-35 | Min: 0.39 | Avg: 1.32 | Max: 3.89
Iteration = 168000 | Total steps: 16-17-21 | Min: 0.10 | Avg: 0.22 | Max: 0.87
Iteration = 169000 | Total steps: 17-33-42 | Min: 0.79 | Avg: 1.88 | Max: 3.37
Iteration = 170000 | Total steps: 16-25-50 | Min: 0.10 | Avg: 0.92 | Max: 3.99
Iteration = 171000 | Total steps: 22-30-42 | Min: 0.49 | Avg: 1.69 | Max: 3.13
Iteration = 172000 | Total steps: 16-22-29 | Min: 0.10 | Avg: 0.65 | Max: 1.43
Iteration = 173000 | Total steps: 20-27-36 | Min: 0.21 | Avg: 1.30 | Max: 3.65
Iteration = 174000 | Total steps: 22-26-33 | Min: 0.29 | Avg: 1.00 | Max: 1.98
Iteration = 175000 | Total steps: 21-27-35 | Min: 0.38 | Avg: 1.22 | Max: 2.37
Iteration = 176000 | Total steps: 16-21-44 | Min: 0.10 | Avg: 0.58 | Max: 2.39
Iteration = 177000 | Total steps: 5-16-26 | Min: 0.25 | Avg: 1.02 | Max: 2.09
Iteration = 178000 | Total steps: 16-19-26 | Min: 0.10 | Avg: 0.31 | Max: 1.23
Iteration = 179000 | Total steps: 16-17-28 | Min: 0.10 | Avg: 0.26 | Max: 1.55
Iteration = 180000 | Total steps: 16-20-28 | Min: 0.10 | Avg: 0.89 | Max: 3.33
Iteration = 181000 | Total steps: 16-20-27 | Min: 0.10 | Avg: 0.71 | Max: 1.93
Iteration = 182000 | Total steps: 16-21-28 | Min: 0.10 | Avg: 0.42 | Max: 1.93
Iteration = 183000 | Total steps: 16-16-20 | Min: 0.10 | Avg: 0.32 | Max: 1.13
Iteration = 184000 | Total steps: 16-18-36 | Min: 0.10 | Avg: 0.28 | Max: 1.59
Iteration = 185000 | Total steps: 7-23-31 | Min: 0.10 | Avg: 1.59 | Max: 3.34
Iteration = 186000 | Total steps: 16-20-35 | Min: 0.10 | Avg: 3.15 | Max: 28.78
Iteration = 187000 | Total steps: 16-20-33 | Min: 0.10 | Avg: 0.71 | Max: 3.30
Iteration = 188000 | Total steps: 21-27-41 | Min: 0.29 | Avg: 1.72 | Max: 4.52
Iteration = 189000 | Total steps: 16-21-34 | Min: 0.10 | Avg: 1.08 | Max: 3.27
Iteration = 190000 | Total steps: 16-21-36 | Min: 0.10 | Avg: 0.59 | Max: 2.73
Iteration = 191000 | Total steps: 9-28-49 | Min: 0.57 | Avg: 2.17 | Max: 4.88
Iteration = 192000 | Total steps: 16-29-39 | Min: 0.10 | Avg: 1.11 | Max: 2.77
Iteration = 193000 | Total steps: 16-28-37 | Min: 0.10 | Avg: 1.18 | Max: 2.46
Iteration = 194000 | Total steps: 13-26-36 | Min: 0.18 | Avg: 2.31 | Max: 17.04
Iteration = 195000 | Total steps: 7-21-35 | Min: 1.00 | Avg: 2.47 | Max: 8.21
Iteration = 196000 | Total steps: 22-30-37 | Min: 0.33 | Avg: 3.03 | Max: 17.04
Iteration = 197000 | Total steps: 22-30-39 | Min: 0.34 | Avg: 1.49 | Max: 3.10
Iteration = 198000 | Total steps: 16-23-29 | Min: 0.10 | Avg: 0.70 | Max: 1.72
Iteration = 199000 | Total steps: 21-33-44 | Min: 0.29 | Avg: 9.03 | Max: 76.43 [CHECK POINT]
Iteration = 200000 | Total steps: 16-28-39 | Min: 0.10 | Avg: 1.56 | Max: 3.41
Iteration = 201000 | Total steps: 21-26-37 | Min: 0.19 | Avg: 0.71 | Max: 1.99
Iteration = 202000 | Total steps: 16-21-38 | Min: 0.10 | Avg: 0.68 | Max: 2.30
Iteration = 203000 | Total steps: 16-24-37 | Min: 0.10 | Avg: 0.89 | Max: 2.19
Iteration = 204000 | Total steps: 16-21-52 | Min: 0.10 | Avg: 2.06 | Max: 13.85
