Iteration = 101000 | Total steps: 25-35-54 | Min: 0.60 | Avg: 1.70 | Max: 4.12
Iteration = 102000 | Total steps: 24-39-58 | Min: 0.75 | Avg: 2.75 | Max: 5.75
Iteration = 103000 | Total steps: 20-32-44 | Min: 0.87 | Avg: 2.84 | Max: 13.85
Iteration = 104000 | Total steps: 16-29-47 | Min: 0.10 | Avg: 1.50 | Max: 3.30
Iteration = 105000 | Total steps: 16-28-47 | Min: 0.10 | Avg: 4.09 | Max: 17.08 [CHECK POINT]
Iteration = 106000 | Total steps: 16-35-54 | Min: 0.10 | Avg: 1.76 | Max: 4.28
Iteration = 107000 | Total steps: 24-33-49 | Min: 1.01 | Avg: 2.26 | Max: 3.82
Iteration = 108000 | Total steps: 22-33-44 | Min: 0.47 | Avg: 2.19 | Max: 4.43
Iteration = 109000 | Total steps: 26-42-66 | Min: 1.20 | Avg: 2.94 | Max: 5.38
Iteration = 110000 | Total steps: 10-25-52 | Min: 0.10 | Avg: 1.50 | Max: 4.75
Iteration = 111000 | Total steps: 20-31-57 | Min: 0.38 | Avg: 2.59 | Max: 11.12
Iteration = 112000 | Total steps: 21-38-61 | Min: 0.22 | Avg: 3.74 | Max: 16.84
Iteration = 113000 | Total steps: 16-32-56 | Min: 0.10 | Avg: 1.67 | Max: 3.63
Iteration = 114000 | Total steps: 16-35-73 | Min: 0.10 | Avg: 1.74 | Max: 4.86
Iteration = 115000 | Total steps: 12-30-47 | Min: 0.48 | Avg: 1.67 | Max: 3.12
Iteration = 116000 | Total steps: 20-39-62 | Min: 0.47 | Avg: 4.34 | Max: 16.65 [CHECK POINT]
Iteration = 117000 | Total steps: 17-31-56 | Min: 0.35 | Avg: 2.12 | Max: 4.26
Iteration = 118000 | Total steps: 16-30-49 | Min: 0.10 | Avg: 1.64 | Max: 6.18
Iteration = 119000 | Total steps: 11-34-55 | Min: 0.27 | Avg: 2.39 | Max: 6.58
Iteration = 120000 | Total steps: 21-43-77 | Min: 0.88 | Avg: 4.11 | Max: 9.82
Iteration = 121000 | Total steps: 18-41-63 | Min: 1.46 | Avg: 4.06 | Max: 5.34
Iteration = 122000 | Total steps: 18-33-54 | Min: 0.36 | Avg: 1.86 | Max: 2.86
Iteration = 123000 | Total steps: 16-27-57 | Min: 0.10 | Avg: 1.17 | Max: 3.65
Iteration = 124000 | Total steps: 20-42-64 | Min: 1.12 | Avg: 3.10 | Max: 7.13
Iteration = 125000 | Total steps: 16-30-57 | Min: 0.10 | Avg: 1.61 | Max: 5.66
Iteration = 126000 | Total steps: 22-39-63 | Min: 0.40 | Avg: 4.47 | Max: 17.58 [CHECK POINT]
Iteration = 127000 | Total steps: 8-25-40 | Min: 0.35 | Avg: 1.99 | Max: 3.90
Iteration = 128000 | Total steps: 16-25-36 | Min: 0.10 | Avg: 1.07 | Max: 2.45
Iteration = 129000 | Total steps: 20-40-52 | Min: 0.65 | Avg: 3.33 | Max: 5.49
Iteration = 130000 | Total steps: 16-37-65 | Min: 0.10 | Avg: 2.02 | Max: 5.11
Iteration = 131000 | Total steps: 16-46-63 | Min: 2.13 | Avg: 3.80 | Max: 7.10
Iteration = 132000 | Total steps: 16-22-32 | Min: 0.10 | Avg: 0.78 | Max: 1.93
Iteration = 133000 | Total steps: 16-35-52 | Min: 0.10 | Avg: 2.56 | Max: 4.97
Iteration = 134000 | Total steps: 16-40-57 | Min: 0.10 | Avg: 3.46 | Max: 6.32
Iteration = 135000 | Total steps: 16-24-62 | Min: 0.10 | Avg: 1.29 | Max: 4.85
Iteration = 136000 | Total steps: 14-27-40 | Min: 0.54 | Avg: 3.10 | Max: 4.22
Iteration = 137000 | Total steps: 16-31-51 | Min: 0.10 | Avg: 1.37 | Max: 2.97
Iteration = 138000 | Total steps: 16-39-72 | Min: 0.10 | Avg: 2.49 | Max: 6.51
Iteration = 139000 | Total steps: 17-28-54 | Min: 0.89 | Avg: 2.58 | Max: 4.91
Iteration = 140000 | Total steps: 25-41-65 | Min: 0.30 | Avg: 4.14 | Max: 18.82
Iteration = 141000 | Total steps: 21-34-58 | Min: 0.46 | Avg: 2.37 | Max: 6.57
Iteration = 142000 | Total steps: 16-34-62 | Min: 0.10 | Avg: 2.76 | Max: 6.97
Iteration = 143000 | Total steps: 16-37-83 | Min: 0.10 | Avg: 2.70 | Max: 7.90
Iteration = 144000 | Total steps: 22-46-69 | Min: 0.32 | Avg: 4.70 | Max: 8.79 [CHECK POINT]
Iteration = 145000 | Total steps: 16-21-42 | Min: 0.10 | Avg: 0.95 | Max: 5.87
Iteration = 146000 | Total steps: 17-39-62 | Min: 0.53 | Avg: 2.61 | Max: 5.76
Iteration = 147000 | Total steps: 16-27-39 | Min: 0.10 | Avg: 1.64 | Max: 3.69
Iteration = 148000 | Total steps: 20-34-52 | Min: 0.39 | Avg: 2.76 | Max: 6.51
Iteration = 149000 | Total steps: 17-45-68 | Min: 0.35 | Avg: 6.39 | Max: 18.65 [CHECK POINT]
Iteration = 150000 | Total steps: 16-36-59 | Min: 0.10 | Avg: 2.27 | Max: 3.87
Iteration = 151000 | Total steps: 16-42-62 | Min: 0.10 | Avg: 4.70 | Max: 17.17
Iteration = 152000 | Total steps: 19-33-51 | Min: 0.17 | Avg: 2.27 | Max: 4.91
Iteration = 153000 | Total steps: 19-45-76 | Min: 1.09 | Avg: 5.78 | Max: 28.70
Iteration = 154000 | Total steps: 26-41-65 | Min: 0.77 | Avg: 2.83 | Max: 4.80
Iteration = 155000 | Total steps: 16-29-47 | Min: 0.10 | Avg: 1.72 | Max: 5.26
Iteration = 156000 | Total steps: 17-35-64 | Min: 0.41 | Avg: 2.19 | Max: 4.85
Iteration = 157000 | Total steps: 18-41-64 | Min: 0.14 | Avg: 3.53 | Max: 14.40
Iteration = 158000 | Total steps: 16-29-44 | Min: 0.10 | Avg: 1.56 | Max: 2.67
Iteration = 159000 | Total steps: 17-23-30 | Min: 0.15 | Avg: 1.35 | Max: 2.39
Iteration = 160000 | Total steps: 32-46-65 | Min: 0.59 | Avg: 3.24 | Max: 4.77
Iteration = 161000 | Total steps: 18-39-65 | Min: 0.74 | Avg: 2.67 | Max: 5.98
Iteration = 162000 | Total steps: 16-27-44 | Min: 0.10 | Avg: 2.35 | Max: 11.11
Iteration = 163000 | Total steps: 19-41-57 | Min: 0.52 | Avg: 4.00 | Max: 16.27
Iteration = 164000 | Total steps: 23-33-41 | Min: 0.33 | Avg: 2.05 | Max: 4.34
Iteration = 165000 | Total steps: 23-36-58 | Min: 0.68 | Avg: 1.99 | Max: 3.85
Iteration = 166000 | Total steps: 16-29-52 | Min: 0.10 | Avg: 1.40 | Max: 3.59
Iteration = 167000 | Total steps: 20-38-55 | Min: 1.33 | Avg: 2.43 | Max: 3.47
Iteration = 168000 | Total steps: 24-36-61 | Min: 0.35 | Avg: 1.90 | Max: 5.68
Iteration = 169000 | Total steps: 23-40-68 | Min: 0.21 | Avg: 2.21 | Max: 4.69
Iteration = 170000 | Total steps: 18-33-56 | Min: 0.14 | Avg: 1.80 | Max: 3.57
Iteration = 171000 | Total steps: 16-25-40 | Min: 0.10 | Avg: 1.20 | Max: 3.83
Iteration = 172000 | Total steps: 19-26-38 | Min: 0.18 | Avg: 1.75 | Max: 8.19
Iteration = 173000 | Total steps: 16-25-42 | Min: 0.10 | Avg: 1.04 | Max: 3.18
